"Table 1221: Passenger journeys by sector, Great Britain, April 1994 to June 2025",,,,,
"This worksheet contains two tables presented vertically, with one blank row between tables. The first table shows annual data and the second table shows quarterly data. ",,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,
"Some shorthand is used in this table, [b] = break in time series, [p] = provisional data, [z] = data not applicable",,,,,
"Table 1221a: Passenger journeys by sector, annual data",,,,,
Time period,"Franchised long distance operators
(million)","Franchised London and South East operators
(million)","Franchised regional operators
(million)","Open access operators
(million)
[note 1]","Total passenger journeys
(million)
[note 2]"
Apr 1994 to Mar 1995 [note 3],54.3,507.1,173.7,[z],735.1
Apr 1995 to Mar 1996,55.8,521.2,184.2,[z],761.2
Apr 1996 to Mar 1997,58.1,547.7,194.4,[z],800.2
Apr 1997 to Mar 1998,63.5,581.0,201.2,[z],845.7
Apr 1998 to Mar 1999,67.5,616.3,208.1,2.9,894.8
Apr 1999 to Mar 2000 [b],72.1,638.8,220.1,4.4,935.4
Apr 2000 to Mar 2001,69.7,664.1,222.7,5.1,961.7
Apr 2001 to Mar 2002,74.1,663.3,222.2,4.8,964.4
Apr 2002 to Mar 2003,77.2,679.1,219.2,5.0,980.5
Apr 2003 to Mar 2004 [note 4],81.5,690.0,240.2,5.1,"1,016.8"
Apr 2004 to Mar 2005,83.7,704.5,251.3,5.0,"1,044.6"
Apr 2005 to Mar 2006,89.5,719.7,267.3,5.3,"1,081.7"
Apr 2006 to Mar 2007,99.0,769.5,276.5,5.3,"1,150.3"
Apr 2007 to Mar 2008,103.9,828.4,285.8,5.2,"1,223.2"
Apr 2008 to Mar 2009,109.4,854.3,302.8,5.5,"1,271.9"
Apr 2009 to Mar 2010,111.6,842.2,304.0,6.3,"1,264.2"
Apr 2010 to Mar 2011,117.0,910.6,315.8,7.2,"1,350.7"
Apr 2011 to Mar 2012 [b],122.0,991.0,336.1,7.2,"1,456.3"
Apr 2012 to Mar 2013,123.1,"1,030.0",337.2,7.3,"1,497.7"
Apr 2013 to Mar 2014,125.8,"1,099.3",350.5,7.7,"1,583.4"
Apr 2014 to Mar 2015,131.8,"1,144.0",366.7,7.9,"1,650.4"
Apr 2015 to Mar 2016,135.4,"1,194.8",375.1,8.2,"1,713.5"
Apr 2016 to Mar 2017,140.4,"1,190.5",388.0,8.5,"1,727.5"
Apr 2017 to Mar 2018,141.4,"1,165.4",388.4,8.8,"1,704.0"
Apr 2018 to Mar 2019,143.5,"1,209.0",391.7,8.7,"1,753.0"
"Apr 2019 to Mar 2020 [note 5, 6]",139.2,"1,195.9",395.4,8.3,"1,738.7"
Apr 2020 to Mar 2021 [b] [p] ,24.9,287.7,74.8,0.5,387.9
Apr 2021 to Mar 2022 [b] [p] ,87.4,668.1,230.7,3.9,990.1
Apr 2022 to Mar 2023 [note 7] [p] ,119.5,964.7,291.9,8.6,"1,384.8"
Apr 2023 to Mar 2024 [p] ,135.5,"1,136.3",331.3,9.0,"1,612.0"
Apr 2024 to Mar 2025 [p] ,146.9,"1,211.3",361.5,9.0,"1,728.7"
,,,,,
"Table 1221b: Passenger journeys by sector, quarterly data",,,,,
Time period,"Franchised long distance operators
(million)","Franchised London and South East operators
(million)","Franchised regional operators
(million)","Open access operators
(million)
[note 1]","Total passenger journeys
(million)
[note 2]"
Apr to Jun 1994 [note 3],14.3,125.0,44.8,[z],184.1
Jul to Sep 1994,12.0,111.3,37.4,[z],160.7
Oct to Dec 1994,14.2,136.3,46.8,[z],197.4
Jan to Mar 1995,13.7,134.4,44.7,[z],192.9
Apr to Jun 1995,13.6,126.7,45.6,[z],185.9
Jul to Sep 1995,13.4,123.5,45.0,[z],181.9
Oct to Dec 1995,14.4,138.3,48.4,[z],201.1
Jan to Mar 1996,14.5,132.6,45.2,[z],192.3
Apr to Jun 1996,14.1,131.7,46.5,[z],192.3
Jul to Sep 1996,14.3,131.7,48.1,[z],194.2
Oct to Dec 1996,15.4,145.4,51.6,[z],212.4
Jan to Mar 1997,14.4,138.8,48.1,[z],201.3
Apr to Jun 1997,14.7,137.5,47.9,[z],200.1
Jul to Sep 1997,16.0,139.5,50.4,[z],205.9
Oct to Dec 1997,17.0,153.5,53.4,[z],223.9
Jan to Mar 1998,15.9,150.5,49.4,[z],215.8
Apr to Jun 1998,15.8,143.8,51.0,0.1,210.7
Jul to Sep 1998,17.1,147.1,50.7,0.9,215.8
Oct to Dec 1998,17.8,165.0,54.6,0.9,238.3
Jan to Mar 1999,16.8,160.4,51.9,1.0,230.0
Apr to Jun 1999 [b],17.2,151.8,52.6,1.1,222.8
Jul to Sep 1999,18.3,155.7,54.8,1.1,229.9
Oct to Dec 1999,18.4,166.2,57.4,1.1,243.0
Jan to Mar 2000,18.2,165.1,55.3,1.1,239.6
Apr to Jun 2000,18.6,160.9,55.3,1.3,236.2
Jul to Sep 2000,19.9,167.1,59.9,1.3,248.2
Oct to Dec 2000,15.3,169.2,55.3,1.3,241.1
Jan to Mar 2001,15.8,166.9,52.2,1.2,236.2
Apr to Jun 2001,18.1,164.3,53.8,1.2,237.5
Jul to Sep 2001,18.7,163.9,57.5,1.2,241.3
Oct to Dec 2001,18.9,173.2,59.4,1.2,252.7
Jan to Mar 2002,18.3,161.9,51.5,1.2,232.8
Apr to Jun 2002,18.7,166.7,53.2,1.3,240.0
